arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file
phase4_asx_individual_period,weather,720,192,2025,ok,0.4385381,0.19058558344841003,0.24271003901958466,31,144,0,28338790,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl192_sd2025.log
phase4_asx_individual_period,weather,720,192,2026,ok,0.4386735,0.19064827263355255,0.24274002015590668,31,144,0,28338794,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl192_sd2026.log
phase4_asx_individual_period,weather,720,336,2024,ok,0.5029353,0.24051214754581451,0.2820415198802948,31,144,0,28338787,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl336_sd2024.log
phase4_asx_individual_period,weather,720,336,2025,ok,0.5033329,0.24063783884048462,0.28213369846343994,31,144,0,28338791,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl336_sd2025.log
phase4_asx_individual_period,weather,720,336,2026,ok,0.5035208,0.24059537053108215,0.28210505843162537,31,144,0,28338795,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl336_sd2026.log
phase4_asx_individual_period,weather,720,720,2024,ok,0.5956973,0.30969929695129395,0.33186936378479004,31,144,0,28338788,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl720_sd2024.log
phase4_asx_individual_period,weather,720,720,2025,ok,0.59578,0.3097400367259979,0.33192551136016846,31,144,0,28338792,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl720_sd2025.log
phase4_asx_individual_period,weather,720,720,2026,ok,0.5956877,0.30968543887138367,0.3318425714969635,31,144,0,28338796,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl720_sd2026.log
phase4_asx_individual_period,weather,720,96,2024,ok,0.381955,0.14797504246234894,0.20203270018100739,31,144,0,28338785,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl96_sd2024.log
phase4_asx_individual_period,weather,720,96,2025,ok,0.3822276,0.14832772314548492,0.2025640904903412,31,144,0,28338789,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl96_sd2025.log
phase4_asx_individual_period,weather,720,96,2026,ok,0.3818672,0.14800739288330078,0.2021227777004242,31,144,0,28338793,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl96_sd2026.log
phase4_asx_individual_revin,electricity,720,192,2024,ok,0.1325283,0.15913665294647217,0.25788992643356323,181,24+168,0,28338822,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl192_sd2024.log
phase4_asx_individual_revin,electricity,720,192,2025,ok,0.1325027,0.15913762152194977,0.25789761543273926,181,24+168,0,28338826,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl192_sd2025.log
phase4_asx_individual_revin,electricity,720,192,2026,ok,0.1324958,0.15917691588401794,0.2579599916934967,181,24+168,0,28338830,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl192_sd2026.log
phase4_asx_individual_revin,electricity,720,336,2024,ok,0.1473847,0.17418140172958374,0.2728252112865448,181,24+168,0,28338823,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl336_sd2024.log
phase4_asx_individual_revin,electricity,720,336,2025,ok,0.1473365,0.17419418692588806,0.27284520864486694,181,24+168,0,28338827,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl336_sd2025.log
phase4_asx_individual_revin,electricity,720,336,2026,ok,0.1473387,0.17418383061885834,0.27284887433052063,181,24+168,0,28338831,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl336_sd2026.log
phase4_asx_individual_revin,electricity,720,720,2024,ok,0.1780798,0.20964941382408142,0.30240216851234436,181,24+168,0,28338824,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl720_sd2024.log
phase4_asx_individual_revin,electricity,720,720,2025,ok,0.1781417,0.2096690833568573,0.30239805579185486,181,24+168,0,28338828,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl720_sd2025.log
phase4_asx_individual_revin,electricity,720,720,2026,ok,0.178107,0.20971278846263885,0.30239608883857727,181,24+168,0,28338832,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl720_sd2026.log
phase4_asx_individual_revin,electricity,720,96,2024,ok,0.1197562,0.14266787469387054,0.24431486427783966,181,24+168,0,28338821,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl96_sd2024.log
phase4_asx_individual_revin,electricity,720,96,2025,ok,0.1197632,0.14265957474708557,0.24431411921977997,181,24+168,0,28338825,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl96_sd2025.log
phase4_asx_individual_revin,electricity,720,96,2026,ok,0.1197055,0.1426944136619568,0.24433553218841553,181,24+168,0,28338829,logs/AsySpecX_phase4/phase4_asx_individual_revin_electricity_sl720_pl96_sd2026.log
phase4_asx_individual_revin,weather,720,192,2024,ok,0.4376875,0.190342977643013,0.2405116856098175,31,144,0,28338810,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl192_sd2024.log
phase4_asx_individual_revin,weather,720,192,2025,ok,0.4377343,0.19010286033153534,0.24022993445396423,31,144,0,28338814,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl192_sd2025.log
phase4_asx_individual_revin,weather,720,192,2026,ok,0.4378967,0.1901623159646988,0.24026477336883545,31,144,0,28338818,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl192_sd2026.log
phase4_asx_individual_revin,weather,720,336,2024,ok,0.5017782,0.23994186520576477,0.27907946705818176,31,144,0,28338811,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl336_sd2024.log
phase4_asx_individual_revin,weather,720,336,2025,ok,0.5021906,0.2400941401720047,0.2791818380355835,31,144,0,28338815,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl336_sd2025.log
phase4_asx_individual_revin,weather,720,336,2026,ok,0.5023637,0.24001339077949524,0.27911177277565,31,144,0,28338819,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl336_sd2026.log
phase4_asx_individual_revin,weather,720,720,2024,ok,0.5969155,0.31018927693367004,0.32903873920440674,31,144,0,28338812,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl720_sd2024.log
phase4_asx_individual_revin,weather,720,720,2025,ok,0.5969077,0.31012001633644104,0.3289876878261566,31,144,0,28338816,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl720_sd2025.log
