dataset,pred_len,Compact + Echo MSE,Compact + Echo MAE,Compact + Echo Params,TQNet MSE,TQNet MAE,TQNet Params,CycleNet MSE,CycleNet MAE,CycleNet Params,FITS MSE,FITS MAE,FITS Params,SparseTSF MSE,SparseTSF MAE,SparseTSF Params,FreTS MSE,FreTS MAE,FreTS Params,FilterNet MSE,FilterNet MAE,FilterNet Params,iTransformer MSE,iTransformer MAE,iTransformer Params,PatchTST MSE,PatchTST MAE,PatchTST Params,DLinear MSE,DLinear MAE,DLinear Params,MixLinear MSE,MixLinear MAE,MixLinear Params,PhaseFormer MSE,PhaseFormer MAE,PhaseFormer Params,FreqCycle MSE,FreqCycle MAE,FreqCycle Params
PEMS03,48,0.14259041960803087,0.2486096146152004,19610,0.20436525344848633,0.3088461756706238,3098672,0.15221431851387024,0.26752376556396484,137712,0.151799276471138,0.24615390598773956,34752,0.1922236531972885,0.29692330956459045,85,0.1274552934880575,0.2311989246316849,23671728,0.10824501514434814,0.21098880469799042,925948,0.10137037932872772,0.20399664342403412,5128752,0.09922690385262763,0.20124511814461005,964147,0.17945067584514618,0.289299339056015,69216,0.1887115091085434,0.28485244512557983,63,0.11826480421711986,0.22551516171412597,4224,0.11524263440529187,0.21476758927195785,321724
PEMS03,96,0.1897673009900818,0.2821324065464851,21146,0.19802115857601166,0.3017347455024719,3123296,0.18867038190364838,0.29866084456443787,172320,0.18838022649288177,0.27086618542671204,36924,0.21502844989299774,0.31556466221809387,145,0.16681535346480475,0.2580413838808209,23684064,0.1376350224018097,0.23604021966457367,950572,0.12175160646438599,0.2197670042514801,5153376,0.13099422093123847,0.22859677562556535,1517155,0.21388407051563263,0.3215910494327545,138432,0.22624076902866364,0.31693753600120544,87,0.15254522504213705,0.257387892787628,4260,0.14951867033254462,0.2407056540567106,334108
PEMS04,12,0.09436471030896688,0.20931193776180437,18050,0.08703826367855072,0.20184464752674103,3065516,0.08983711153268814,0.20412392914295197,97068,0.09036911278963089,0.19867190718650818,33123,0.1209915548182947,0.238593732113019,73,0.07554565370082855,0.180230975151062,23662476,0.07029762864112854,0.1724882870912552,907378,0.07013235986232758,0.16940273344516754,5110284,0.07359769613475588,0.17646396853381482,549391,0.08843301981687546,0.19553729891777039,17304,0.12946712970733643,0.24780653417110443,41,0.08280135233613328,0.1924557815048815,4197,0.0683918486600019,0.16922653446648295,297748
PEMS04,24,0.12330782917563693,0.23974816391668238,18434,0.11435602605342865,0.23218375444412231,3071672,0.11381121724843979,0.23153270781040192,105720,0.12236500531435013,0.232039213180542,33666,0.17178677022457123,0.2847875952720642,55,0.09395701438188553,0.20287692546844482,23665560,0.0800919458270073,0.1839013695716858,913534,0.081697478890419,0.18237943947315216,5116440,0.08876952872521722,0.1942832943030963,687643,0.11942524462938309,0.22892966866493225,34608,0.15639154613018036,0.2698439061641693,59,0.1036885792941814,0.21751704261450383,4206,0.07838767265948489,0.18238657061945657,300844
PEMS04,48,0.1618806982864458,0.2752893087957104,19202,0.10272688418626785,0.21226757764816284,3083984,0.14789390563964844,0.2650597095489502,123024,0.16821438074111938,0.27215397357940674,34752,0.20007316768169403,0.3050800561904907,85,0.12125831097364426,0.2324039340019226,23671728,0.09207239747047424,0.19808535277843475,925846,0.0979863628745079,0.19804510474205017,5128752,0.10966388083925074,0.21515825134781122,964147,0.16304413974285126,0.2673012912273407,69216,0.20315802097320557,0.3079053461551666,63,0.1335009951175568,0.24580233067279908,4224,0.0948074132989541,0.20139303209625675,307036
PEMS04,96,0.18504525905869987,0.294773687024101,20738,0.17935089766979218,0.29027828574180603,3108608,0.1750640720129013,0.28820428252220154,157632,0.2049713432788849,0.2981323003768921,36924,0.2194763869047165,0.3168336749076843,145,0.14615653455257416,0.2569771111011505,23684064,0.10254647582769394,0.20986105501651764,950470,0.11047352850437164,0.21053695678710938,5153376,0.13002078757080485,0.23447188592366283,1517155,0.2023622840642929,0.30072155594825745,138432,0.2392214983701706,0.33523860573768616,87,0.16970117436458382,0.281233436876191,4260,0.11330152671434575,0.22118036525199242,319420
PEMS07,12,0.05892924384039734,0.15875065159936153,22658,0.07384729385375977,0.18429578840732574,3231404,0.06954091042280197,0.1759478896856308,262956,0.07093378156423569,0.17520470917224884,33123,0.09830628644175014,0.21420303758932796,73,0.05372739145736312,0.14818571853032897,23662476,0.05044269561767578,0.14407655596733093,908530,0.0508183054625988,0.14232032001018524,5110284,0.050725074988537115,0.14322391719959646,549391,0.07081689685583115,0.17578673362731934,17304,0.1059596911072731,0.22545121610164642,41,0.06117805770165243,0.16285722808605843,4197,0.0526622428645491,0.1456371610781522,463636
PEMS07,24,0.0774966855668883,0.18281010497005185,23042,0.1002604216337204,0.21391406655311584,3237560,0.09887592494487762,0.21104048192501068,271608,0.10097140073776245,0.20975251495838165,33666,0.1566871553659439,0.27207139134407043,55,0.07119951690879658,0.1740023823735556,23665560,0.05744682252407074,0.1520252376794815,914686,0.057001180946826935,0.150680273771286,5116440,0.060636495615954224,0.15729413006352896,687643,0.10238862782716751,0.2121521681547165,34608,0.13504089415073395,0.25158172845840454,59,0.07846342320013532,0.1860407292159666,4206,0.06255863328557235,0.15938097520116432,466732
PEMS07,48,0.10944684077952252,0.21054195457946204,23810,0.13223367929458618,0.24484936892986298,3249872,0.14592333137989044,0.2560296058654785,288912,0.14560727775096893,0.25153252482414246,34752,0.1886424869298935,0.2924180328845978,85,0.0996505433165409,0.20613076174774028,23671728,0.06628408282995224,0.16411350667476654,926998,0.06667272746562958,0.16374216973781586,5128752,0.07501870107850789,0.17430702065533735,964147,0.15218375623226166,0.25706642866134644,69216,0.18519821763038635,0.2959344685077667,63,0.1050843944507161,0.21549391966295456,4224,0.07788902230332866,0.17747912828315615,472924
PEMS07,96,0.14542394691488922,0.23378611744261504,25346,0.09888742119073868,0.2068236619234085,3274496,0.18957401812076569,0.2929568588733673,323520,0.1824604719877243,0.2809688150882721,36924,0.219548299908638,0.3152211010456085,145,0.1291357180272813,0.23572618302806025,23684064,0.07718772441148758,0.17944498360157013,951622,0.07427863776683807,0.17055124044418335,5153376,0.092500350881171,0.19202681258510443,1517155,0.20896412432193756,0.3029809594154358,138432,0.22459103167057037,0.3307376205921173,87,0.13735978775300198,0.24841952770488332,4260,0.09526286231503256,0.19665123151555347,485308
PEMS08,12,0.09566232418163911,0.20195257971424335,16954,0.09385275840759277,0.20095545053482056,3026060,0.0945669487118721,0.20309337973594666,57612,0.09290790557861328,0.19543179869651794,33123,0.1337532519167008,0.23792714050206484,73,0.07975803315639496,0.17831450700759888,23662476,0.07841119915246964,0.1785222738981247,907104,0.07074512541294098,0.16830581426620483,5110284,0.06613275408744812,0.16332192718982697,549388,0.09063225984573364,0.19360019266605377,17304,0.1467314213514328,0.2515944838523865,41,0.08976658210908406,0.18649451608552392,4197,0.07941706263509775,0.17917985840821785,258292
PEMS08,24,0.13397482836714947,0.23521458219719196,17338,0.15073838829994202,0.24371644854545593,3032216,0.1350373774766922,0.23750519752502441,66264,0.1423446238040924,0.23589201271533966,33666,0.22222337126731873,0.2994765341281891,55,0.10495799034833908,0.19860368967056274,23665560,0.10500699281692505,0.20287004113197327,913260,0.09163551777601242,0.18584401905536652,5116440,0.08865108582289143,0.18335811873743532,687643,0.13816384971141815,0.23525944352149963,34608,0.19505497813224792,0.27884432673454285,59,0.12305073972216103,0.21256708086024254,4206,0.09777911796358747,0.18755252919565593,261388
PEMS08,48,0.20384116085228468,0.2810940153027436,18106,1.1551166772842407,0.47038957476615906,3044528,0.21234673261642456,0.28579941391944885,83568,0.23687206208705902,0.2870992124080658,34752,0.3019939363002777,0.332109659910202,85,0.1516295224428177,0.23122622072696686,23671728,0.13487988710403442,0.21536202728748322,925572,0.13128557801246643,0.2059878557920456,5128752,0.13249480242823278,0.22148870136493043,964147,0.23718595504760742,0.30201593041419983,69216,0.2895500659942627,0.3263159692287445,63,0.19218243424175233,0.2465785358603656,4224,0.1338010830696267,0.2170851421448656,267580
PEMS08,96,0.28451040832234925,0.3169413031332138,19642,0.44992896914482117,0.4293591380119324,3069152,0.296398401260376,0.32383430004119873,118176,0.3452822268009186,0.32915326952934265,36924,0.37015610933303833,0.3586624562740326,145,0.2229904979467392,0.2656748294830322,23684064,0.16949985921382904,0.2211177796125412,950196,0.18622300028800964,0.21380466222763062,5153376,0.2088842228492648,0.26180561442366534,1517155,0.33454716205596924,0.3360522985458374,138432,0.38587576150894165,0.37472155690193176,87,0.278764932656823,0.28208792660716764,4260,0.19378175536033085,0.2483243062169418,279964
