dataset,seq_len,pred_len,arm,seeds,n_seeds,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,mape_mean,mape_std,param_count,train_time_mean_s,test_peak_gpu_mem_mean_mb,our_compact_profile,source
PEMS08,720,48,true_compact_echo,"2024,2025,2026",3,0.20384116085228468,0.00058206254265873,0.2810940153027436,0.00043277716003940097,2.04648349255625,0.014131243752708553,18106,159.49359273910522,554.5107421875,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS08,720,96,true_compact_echo,"2024,2025,2026",3,0.28451040832234925,0.001212522560085179,0.3169413031332138,0.0003336075103572339,2.2967169193683703,0.016405777402819895,19642,165.11431988080344,594.626953125,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
electricity,96,96,asy1_echo,"2024,2025,2026",3,0.13973544543994398,7.908528640987237e-05,0.2344177716044732,3.378908430109334e-05,,,40674,151.41211756070456,108.255859375,,compact_echo_summary_3seed_0717v1_anchor
electricity,96,192,asy1_echo_fallback,"2024,2025,2026",3,0.15438063607403169,2.4399165245989877e-05,0.24709998306313402,5.926540927210164e-06,2.4471133697207574,0.018735867457270124,46818,220.99886266390482,181.3193359375,,compact_echo_fullgrid_0717v2
electricity,96,336,asy1_echo_fallback,"2024,2025,2026",3,0.17139908223585978,0.00010743393664529159,0.2647643349280261,0.00015010080494690366,2.474236659583527,0.007908352742177828,56034,298.6307219664256,268.072265625,,compact_echo_fullgrid_0717v2
electricity,96,720,compact_echo,"2024,2025,2026",3,0.2089435026498218,0.00024078183328127774,0.29622841873287337,6.929544652905167e-05,,,27106,475.28453127543133,454.20166015625,,compact_echo_summary_3seed_0717v1_anchor
electricity,720,96,compact_echo,"2024,2025,2026",3,0.12729970469853819,0.00014436928362229995,0.2228328011579249,0.00011814495710862833,,,51746,528.8012639681498,289.36376953125,,compact_echo_summary_3seed_0717v1_anchor
electricity,720,192,asy1_echo_fallback,"2024,2025,2026",3,0.1448570644745957,0.00027023997073352815,0.23897098704736786,0.00012038690569660792,2.2971973938056442,0.020618550383528955,86754,366.4107747077942,342.64306640625,,compact_echo_fullgrid_0717v2
electricity,720,336,asy1_echo_fallback,"2024,2025,2026",3,0.16067349444387086,0.00010752363299581495,0.25599924141940406,0.0001424157765401154,2.384322469956831,0.022317251135829577,95970,558.3656053543091,416.072265625,,compact_echo_fullgrid_0717v2
electricity,720,720,compact_echo,"2024,2025,2026",3,0.1950067217112771,0.0002021575203256952,0.2862778513812786,0.000186877724788525,,,67042,873.1838774681091,601.97509765625,,compact_echo_summary_3seed_0717v1_anchor
traffic,96,96,true_compact_echo,"2024,2025,2026",3,0.4484165918057793,0.0011029884985540245,0.28933570056754626,0.00014676630649293465,3.4829875847995764,0.002909320459146513,13882,171.37585028012595,255.25341796875,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
traffic,96,192,true_compact_echo,"2024,2025,2026",3,0.45732854138839935,0.0034613264192422414,0.29538255090500903,4.322050103976793e-05,3.484147627795609,0.03670146994105654,16250,195.75078598658243,417.26708984375,input=dct+recent0;output_kron=1;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
traffic,96,336,true_compact_echo,"2024,2025,2026",3,0.4701608300287612,0.007432972561199001,0.3018934789425133,0.00030197459145860084,3.49112872198147,0.026033880766111517,16250,284.5629141330719,660.8515625,input=dct+recent0;output_kron=1;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
traffic,96,720,true_compact_echo,"2024,2025,2026",3,0.5090763644755636,0.010246441098176582,0.3173735588548917,0.00030942468092064494,3.569124483199367,0.019715778974923787,16346,641.228717247645,1312.01416015625,input=dct+recent0;output_kron=1;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
traffic,720,96,true_compact_echo,"2024,2025,2026",3,0.3791753737633433,0.000369527278585664,0.2632737343698492,0.00027393367585731247,2.9788650032006627,0.01778554002948768,20442,753.6695291996002,742.7265625,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
traffic,720,192,true_compact_echo,"2024,2025,2026",3,0.3947116324019857,0.0009546637887932963,0.27010288866242227,0.00018378294986911485,3.0346328984915076,0.03424674134960915,22810,859.9880612691244,843.89599609375,input=pcke+recent96;output_kron=1;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
traffic,720,336,true_compact_echo,"2024,2025,2026",3,0.4085616788983479,0.0008765179786012271,0.2771064677909008,0.00027110117412135036,3.151673987439247,0.04838526826356418,22810,996.2244238058726,1056.591796875,input=pcke+recent96;output_kron=1;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
traffic,720,720,true_compact_echo,"2024,2025,2026",3,0.44010181575425694,0.00051883359886412,0.2962034679624606,0.000126452642716703,3.256683962176355,0.004410369067844007,22906,1240.751637061437,1708.41845703125,input=pcke+recent96;output_kron=1;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
weather,96,96,asy1_echo,"2024,2025,2026",3,0.15375435118817726,0.0006330991056237693,0.19729124939110088,0.0005826763350898063,,,3742,49.45795933405558,53.5625,,compact_echo_summary_3seed_0717v1_anchor
weather,96,192,asy1_echo_fallback,"2024,2025,2026",3,0.2019925756803009,0.000256406110324524,0.2417384742566425,0.00025750030931992305,13.204772345831458,0.1336746843694458,5278,61.87694334983826,72.5380859375,,compact_echo_fullgrid_0717v2
weather,96,336,asy1_echo_fallback,"2024,2025,2026",3,0.2575580281716527,0.0001395684735300566,0.28329122832030995,5.859986827351834e-05,13.924736522066295,0.15001140996587595,7582,67.55405720074971,98.1435546875,,compact_echo_fullgrid_0717v2
weather,96,720,asy1_echo,"2024,2025,2026",3,0.3385557441235448,0.00022691283889252994,0.33624643932821463,0.00013610161863979636,,,13726,85.28962071736653,150.45458984375,,compact_echo_summary_3seed_0717v1_anchor
weather,720,96,compact_echo,"2024,2025,2026",3,0.13868557605467655,0.0005029848692550186,0.18969989269860243,0.0025609588439339226,,,6126,91.9153033097585,105.23828125,,compact_echo_summary_3seed_0717v1_anchor
weather,720,192,asy1_echo_fallback,"2024,2025,2026",3,0.1816932686245894,0.00023187957995698087,0.23105610236359878,0.00013479706636493303,11.181514044389727,0.2094606339807316,15262,87.42458701133728,116.81005859375,,compact_echo_fullgrid_0717v2
weather,720,336,asy1_echo_fallback,"2024,2025,2026",3,0.23229967296845855,0.00045132969062887883,0.2714597343543076,0.00044352628181374055,11.92910988588047,0.06365979646562882,17566,106.47705348332723,140.759765625,,compact_echo_fullgrid_0717v2
weather,720,720,compact_echo,"2024,2025,2026",3,0.3038410676488539,0.0003013993628047395,0.32291982744970466,0.00019763061840672979,,,16110,135.32545733451843,191.509765625,,compact_echo_summary_3seed_0717v1_anchor
