arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase5_asx_individual,electricity,720,336,2024,ok,0.1476081,0.17381304502487183,0.27304598689079285,181,24+168,0,28447821,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl336_sd2024.log,0.2454245,0.2341531,0.239346,0.2561745,0.2520441,0.1483289,0.1394446,0.1571999,0.1461197
phase5_asx_individual,electricity,720,336,2025,ok,0.1475551,0.17382514476776123,0.27306756377220154,181,24+168,0,28447825,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl336_sd2025.log,0.2454315,0.2341552,0.2393699,0.2561848,0.2520357,0.1483124,0.1394504,0.1572185,0.1460771
phase5_asx_individual,electricity,720,336,2026,ok,0.1475564,0.17381355166435242,0.2730664908885956,181,24+168,0,28447829,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl336_sd2026.log,0.2454439,0.2341589,0.2393857,0.2561831,0.2520674,0.1483055,0.1394755,0.1572147,0.1461049
phase5_asx_individual,electricity,720,720,2024,ok,0.1796749,0.2091122716665268,0.30289971828460693,181,24+168,0,28447822,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl720_sd2024.log,0.2725401,0.2831136,0.2619245,0.2766746,0.2684257,0.211749,0.1635859,0.1776298,0.1665429
phase5_asx_individual,electricity,720,720,2025,ok,0.1797346,0.2091490477323532,0.3028934597969055,181,24+168,0,28447826,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl720_sd2025.log,0.2725096,0.2831196,0.261885,0.2766341,0.2683774,0.2118138,0.1635532,0.1775929,0.1664949
phase5_asx_individual,electricity,720,720,2026,ok,0.1797112,0.20917023718357086,0.3028862774372101,181,24+168,0,28447830,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl720_sd2026.log,0.2725,0.2830995,0.2618488,0.2766818,0.2683477,0.2118,0.1634915,0.1776845,0.1664772
phase5_asx_individual,electricity,720,96,2024,ok,0.1197836,0.14262861013412476,0.24442964792251587,181,24+168,0,28447819,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl96_sd2024.log,0.2198771,0.2091627,0.2089116,0.2262848,0.2351663,0.1168411,0.1100324,0.127857,0.1248292
phase5_asx_individual,electricity,720,96,2025,ok,0.1197935,0.1426207721233368,0.2444276511669159,181,24+168,0,28447823,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl96_sd2025.log,0.2198944,0.2091905,0.2089192,0.2262951,0.2351897,0.1168826,0.1100472,0.1278625,0.1248484
phase5_asx_individual,electricity,720,96,2026,ok,0.1197339,0.1426554024219513,0.24444906413555145,181,24+168,0,28447827,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl96_sd2026.log,0.2198834,0.2091466,0.2089226,0.2262947,0.2351866,0.1168334,0.1100541,0.1278781,0.1248535
phase5_asx_individual,weather,720,192,2024,ok,0.4386023,0.19084033370018005,0.2430732250213623,31,144,0,28447808,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl192_sd2024.log,0.3188308,0.2784294,0.3796836,0.2996807,0.3175283,0.2041775,0.8388951,0.2789366,0.4376038
