arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase6_asx_cross,PEMS08,96,12,2024,ok,0.1013153,0.09178216755390167,0.19953426718711853,49,24,0,28522681,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl12_sd2024.log,0.2053374,0.2103597,0.2023147,0.1973622,0.2113133,0.1068451,0.0964967,0.0942204,0.1076989
phase6_asx_cross,PEMS08,96,12,2025,ok,0.1023925,0.09287436306476593,0.20078562200069427,49,24,0,28522685,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl12_sd2025.log,0.2064768,0.2109347,0.2030792,0.1989605,0.2129329,0.107682,0.0971518,0.0954889,0.1092473
phase6_asx_cross,PEMS08,96,12,2026,ok,0.1009942,0.09173203259706497,0.19971632957458496,49,24,0,28522689,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl12_sd2026.log,0.20527,0.2103724,0.2020883,0.1975219,0.2110976,0.1066226,0.096204,0.0939673,0.1071831
phase6_asx_cross,PEMS08,96,24,2024,ok,0.1617239,0.1503341645002365,0.25879213213920593,49,24,0,28522682,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl24_sd2024.log,0.2615936,0.2645085,0.2517193,0.2551722,0.2749744,0.161754,0.1481652,0.1532139,0.1837625
phase6_asx_cross,PEMS08,96,24,2025,ok,0.1619803,0.15038594603538513,0.2581164836883545,49,24,0,28522686,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl24_sd2025.log,0.2615559,0.2634245,0.2508244,0.2553598,0.2766149,0.1617916,0.1480989,0.1529848,0.1850457
phase6_asx_cross,PEMS08,96,24,2026,ok,0.1630147,0.15151558816432953,0.25943824648857117,49,24,0,28522690,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl24_sd2026.log,0.2627191,0.263926,0.2517173,0.2575609,0.277672,0.1617308,0.1488329,0.1549798,0.1865155
phase6_asx_cross,PEMS08,96,48,2024,ok,0.3025541,0.30802321434020996,0.3913893401622772,49,24,0,28522683,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl48_sd2024.log,0.373507,0.3630218,0.3535118,0.3746929,0.4028016,0.2758628,0.2720373,0.3034536,0.3588628
phase6_asx_cross,PEMS08,96,48,2025,ok,0.2968076,0.30523955821990967,0.38922083377838135,49,24,0,28522687,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl48_sd2025.log,0.3685634,0.3577442,0.354902,0.3658037,0.395804,0.2691206,0.2740245,0.2950687,0.3490165
phase6_asx_cross,PEMS08,96,48,2026,ok,0.2845514,0.29074713587760925,0.3797960579395294,49,24,0,28522691,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl48_sd2026.log,0.3619916,0.3579189,0.3463596,0.3515657,0.3921222,0.2626806,0.2578897,0.2772631,0.3403722
phase6_asx_cross,PEMS08,96,96,2024,ok,0.5324049,0.5692159533500671,0.5484395027160645,49,24,0,28522684,logs/AsySpecX_phase6/phase6_asx_cross_PEMS08_sl96_pl96_sd2024.log,0.5105463,0.490877,0.4925601,0.5151207,0.5436272,0.4401166,0.4891078,0.5503137,0.6500815
